trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2506,False,"{'a': 0.6, 'e': 0.6861235000000001}",25,9,-16.204651763804296,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
2507,False,"{'a': 0.6, 'e': 0.6858729000000001}",25,0,-63.35222128915532,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
2508,False,"{'a': 0.6, 'e': 0.6856222000000001}",20,0,-10.777906353701244,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2509,False,"{'a': 0.6, 'e': 0.6853714000000001}",20,0,-129.61613570663192,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2510,False,"{'a': 0.6, 'e': 0.6851205}",20,14,-16.614852163908065,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
2511,False,"{'a': 0.6, 'e': 0.6848695}",20,0,6.457216741321457,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
2512,False,"{'a': 0.6, 'e': 0.6846184000000001}",30,22,3.846908545368573,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2513,False,"{'a': 0.6, 'e': 0.6843672000000001}",25,12,19.38233337252717,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2514,False,"{'a': 0.6, 'e': 0.6841159000000001}",25,0,-107.59382240360088,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
2515,False,"{'a': 0.6, 'e': 0.6838645000000001}",25,0,-84.7406994195876,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2516,False,"{'a': 0.6, 'e': 0.6836130000000001}",20,2,-92.51442953911076,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
2517,False,"{'a': 0.6, 'e': 0.6833614000000001}",20,0,-43.429329862208945,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2518,False,"{'a': 0.6, 'e': 0.6831097000000002}",20,3,-79.13900010591881,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 2}",1
2519,False,"{'a': 0.6, 'e': 0.6828579000000001}",20,0,-113.93559858390101,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
2520,False,"{'a': 0.6, 'e': 0.6826060000000002}",20,0,-73.51080628172186,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2521,False,"{'a': 0.6, 'e': 0.6823540000000001}",20,0,-81.14104242551961,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
2522,False,"{'a': 0.6, 'e': 0.6821019000000001}",30,0,-92.66700240329277,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
2523,False,"{'a': 0.6, 'e': 0.6818497000000001}",35,11,-93.52461758092113,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
2524,False,"{'a': 0.6, 'e': 0.6815974000000001}",30,0,-92.47721470079388,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
2525,False,"{'a': 0.6, 'e': 0.6813450000000001}",20,0,-64.1186937907184,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2526,False,"{'a': 0.6, 'e': 0.6810925000000001}",25,0,-44.537413138832875,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
2527,False,"{'a': 0.6, 'e': 0.6808399}",25,0,-35.69022542212309,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
2528,False,"{'a': 0.6, 'e': 0.6805872000000001}",20,0,-84.80900996692009,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
2529,False,"{'a': 0.6, 'e': 0.6803344}",30,0,-119.3317684119287,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
2530,False,"{'a': 0.6, 'e': 0.6800815}",35,5,-109.63111003591722,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",1
2531,False,"{'a': 0.6, 'e': 0.6798285000000001}",25,0,-94.4406217879093,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
2532,False,"{'a': 0.6, 'e': 0.6795754}",20,10,6.09453605786104,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2533,False,"{'a': 0.6, 'e': 0.6793222000000001}",20,0,-21.630331125047697,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2534,False,"{'a': 0.6, 'e': 0.6790689000000001}",25,0,-111.25690510812959,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
